"","score","asfeeling"
"26272",54,"Lightly Favorable"
"26273",88,"Strongly Favorable"
"26274",91,"Strongly Favorable"
"26275",90,"Strongly Favorable"
"26276",91,"Strongly Favorable"
"26277",87,"Strongly Favorable"
"26278",75,"Lightly Favorable"
"26279",74,"Lightly Favorable"
"26280",28,"Unfavorable"
"26281",72,"Lightly Favorable"
"26282",47,"Unfavorable"
"26283",68,"Lightly Favorable"
"26284",76,"Strongly Favorable"
"26285",47,"Unfavorable"
"26286",96,"Strongly Favorable"
"26287",98,"Strongly Favorable"
"26288",51,"Lightly Favorable"
"26289",40,"Unfavorable"
"26290",34,"Unfavorable"
"26291",56,"Lightly Favorable"
"26292",97,"Strongly Favorable"
"26293",53,"Lightly Favorable"
"26294",50,"Unfavorable"
"26295",88,"Strongly Favorable"
"26296",42,"Unfavorable"
"26297",94,"Strongly Favorable"
"26298",55,"Lightly Favorable"
"26299",75,"Lightly Favorable"
"26300",50,"Unfavorable"
"26301",51,"Lightly Favorable"
"26302",91,"Strongly Favorable"
"26303",59,"Lightly Favorable"
"26304",88,"Strongly Favorable"
"26305",72,"Lightly Favorable"
"26306",76,"Strongly Favorable"
"26307",80,"Strongly Favorable"
"26308",97,"Strongly Favorable"
"26309",97,"Strongly Favorable"
"26310",100,"Strongly Favorable"
"26311",61,"Lightly Favorable"
"26312",78,"Strongly Favorable"
"26313",50,"Unfavorable"
"26314",80,"Strongly Favorable"
"26315",80,"Strongly Favorable"
"26316",93,"Strongly Favorable"
"26317",79,"Strongly Favorable"
"26318",95,"Strongly Favorable"
"26319",50,"Unfavorable"
"26320",66,"Lightly Favorable"
"26321",78,"Strongly Favorable"
"26322",77,"Strongly Favorable"
"26323",61,"Lightly Favorable"
"26324",50,"Unfavorable"
"26325",90,"Strongly Favorable"
"26326",99,"Strongly Favorable"
"26327",59,"Lightly Favorable"
"26328",99,"Strongly Favorable"
"26329",80,"Strongly Favorable"
"26330",95,"Strongly Favorable"
"26331",86,"Strongly Favorable"
"26332",96,"Strongly Favorable"
"26333",83,"Strongly Favorable"
"26334",80,"Strongly Favorable"
"26335",81,"Strongly Favorable"
"26336",76,"Strongly Favorable"
"26337",50,"Unfavorable"
"26338",70,"Lightly Favorable"
"26339",56,"Lightly Favorable"
"26340",50,"Unfavorable"
"26341",33,"Unfavorable"
"26342",75,"Lightly Favorable"
"26343",51,"Lightly Favorable"
"26344",54,"Lightly Favorable"
"26345",88,"Strongly Favorable"
"26346",100,"Strongly Favorable"
"26347",95,"Strongly Favorable"
"26348",72,"Lightly Favorable"
"26349",100,"Strongly Favorable"
"26350",95,"Strongly Favorable"
"26351",100,"Strongly Favorable"
"26352",51,"Lightly Favorable"
"26353",82,"Strongly Favorable"
"26354",53,"Lightly Favorable"
"26355",100,"Strongly Favorable"
"26356",52,"Lightly Favorable"
"26357",94,"Strongly Favorable"
"26358",51,"Lightly Favorable"
"26359",69,"Lightly Favorable"
"26360",100,"Strongly Favorable"
"26361",67,"Lightly Favorable"
"26362",51,"Lightly Favorable"
"26363",90,"Strongly Favorable"
"26364",100,"Strongly Favorable"
"26365",76,"Strongly Favorable"
"26366",50,"Unfavorable"
"26367",80,"Strongly Favorable"
"26368",60,"Lightly Favorable"
"26369",78,"Strongly Favorable"
"26370",74,"Lightly Favorable"
"26371",12,"Strongly unfavorable"
"26372",13,"Strongly unfavorable"
"26373",89,"Strongly Favorable"
"26374",98,"Strongly Favorable"
"26375",100,"Strongly Favorable"
"26376",60,"Lightly Favorable"
"26377",10,"Strongly unfavorable"
"26378",100,"Strongly Favorable"
"26379",98,"Strongly Favorable"
"26380",90,"Strongly Favorable"
"26381",85,"Strongly Favorable"
"26382",50,"Unfavorable"
"26383",41,"Unfavorable"
"26384",50,"Unfavorable"
"26385",99,"Strongly Favorable"
"26386",100,"Strongly Favorable"
"26387",50,"Unfavorable"
"26388",90,"Strongly Favorable"
"26389",49,"Unfavorable"
"26390",49,"Unfavorable"
"26391",27,"Unfavorable"
"26392",89,"Strongly Favorable"
"26393",1,"Strongly unfavorable"
"26394",79,"Strongly Favorable"
"26395",74,"Lightly Favorable"
"26396",86,"Strongly Favorable"
"26397",57,"Lightly Favorable"
"26398",100,"Strongly Favorable"
"26399",59,"Lightly Favorable"
"26400",50,"Unfavorable"
"26401",50,"Unfavorable"
"26402",0,"Strongly unfavorable"
"26403",49,"Unfavorable"
"26404",100,"Strongly Favorable"
"26405",52,"Lightly Favorable"
"26406",49,"Unfavorable"
"26407",92,"Strongly Favorable"
"26408",90,"Strongly Favorable"
"26409",70,"Lightly Favorable"
"26410",99,"Strongly Favorable"
"26411",0,"Strongly unfavorable"
"26412",86,"Strongly Favorable"
"26413",91,"Strongly Favorable"
"26414",91,"Strongly Favorable"
"26415",78,"Strongly Favorable"
"26416",81,"Strongly Favorable"
"26417",90,"Strongly Favorable"
"26418",75,"Lightly Favorable"
"26419",75,"Lightly Favorable"
"26420",82,"Strongly Favorable"
"26421",61,"Lightly Favorable"
"26422",29,"Unfavorable"
"26423",77,"Strongly Favorable"
"26424",79,"Strongly Favorable"
"26425",80,"Strongly Favorable"
"26426",75,"Lightly Favorable"
"26427",90,"Strongly Favorable"
"26428",95,"Strongly Favorable"
"26429",93,"Strongly Favorable"
"26430",50,"Unfavorable"
"26431",80,"Strongly Favorable"
"26432",90,"Strongly Favorable"
"26433",75,"Lightly Favorable"
"26434",47,"Unfavorable"
"26435",93,"Strongly Favorable"
"26436",50,"Unfavorable"
"26437",49,"Unfavorable"
"26438",51,"Lightly Favorable"
"26439",52,"Lightly Favorable"
"26440",90,"Strongly Favorable"
"26441",100,"Strongly Favorable"
"26442",97,"Strongly Favorable"
"26443",62,"Lightly Favorable"
"26444",96,"Strongly Favorable"
"26445",89,"Strongly Favorable"
"26446",100,"Strongly Favorable"
"26447",100,"Strongly Favorable"
"26448",50,"Unfavorable"
"26449",50,"Unfavorable"
"26450",100,"Strongly Favorable"
"26451",50,"Unfavorable"
"26452",75,"Lightly Favorable"
"26453",100,"Strongly Favorable"
"26454",68,"Lightly Favorable"
"26455",80,"Strongly Favorable"
"26456",65,"Lightly Favorable"
"26457",80,"Strongly Favorable"
"26458",80,"Strongly Favorable"
"26459",79,"Strongly Favorable"
"26460",71,"Lightly Favorable"
"26461",82,"Strongly Favorable"
"26462",79,"Strongly Favorable"
"26463",1,"Strongly unfavorable"
"26464",87,"Strongly Favorable"
"26465",88,"Strongly Favorable"
"26466",100,"Strongly Favorable"
"26467",53,"Lightly Favorable"
"26468",85,"Strongly Favorable"
"26469",100,"Strongly Favorable"
"26470",80,"Strongly Favorable"
"26471",99,"Strongly Favorable"
"26472",51,"Lightly Favorable"
"26473",99,"Strongly Favorable"
"26474",100,"Strongly Favorable"
"26475",81,"Strongly Favorable"
"26476",80,"Strongly Favorable"
"26477",50,"Unfavorable"
"26478",99,"Strongly Favorable"
"26479",100,"Strongly Favorable"
"26480",59,"Lightly Favorable"
"26481",70,"Lightly Favorable"
"26482",60,"Lightly Favorable"
"26483",49,"Unfavorable"
"26484",10,"Strongly unfavorable"
"26485",31,"Unfavorable"
"26486",66,"Lightly Favorable"
"26487",50,"Unfavorable"
"26488",81,"Strongly Favorable"
"26489",54,"Lightly Favorable"
"26490",78,"Strongly Favorable"
"26491",91,"Strongly Favorable"
"26492",31,"Unfavorable"
"26493",75,"Lightly Favorable"
"26494",95,"Strongly Favorable"
"26495",90,"Strongly Favorable"
"26496",51,"Lightly Favorable"
"26497",80,"Strongly Favorable"
"26498",91,"Strongly Favorable"
"26499",97,"Strongly Favorable"
"26500",40,"Unfavorable"
"26501",50,"Unfavorable"
"26502",100,"Strongly Favorable"
"26503",94,"Strongly Favorable"
"26504",55,"Lightly Favorable"
"26505",56,"Lightly Favorable"
"26506",95,"Strongly Favorable"
"26507",100,"Strongly Favorable"
"26508",97,"Strongly Favorable"
"26509",78,"Strongly Favorable"
"26510",53,"Lightly Favorable"
"26511",50,"Unfavorable"
"26512",100,"Strongly Favorable"
"26513",100,"Strongly Favorable"
"26514",50,"Unfavorable"
"26515",63,"Lightly Favorable"
"26516",84,"Strongly Favorable"
"26517",52,"Lightly Favorable"
"26518",50,"Unfavorable"
"26519",97,"Strongly Favorable"
"26520",87,"Strongly Favorable"
"26521",95,"Strongly Favorable"
"26522",51,"Lightly Favorable"
"26523",56,"Lightly Favorable"
"26524",70,"Lightly Favorable"
"26525",99,"Strongly Favorable"
"26526",42,"Unfavorable"
"26527",94,"Strongly Favorable"
"26528",95,"Strongly Favorable"
"26529",87,"Strongly Favorable"
"26530",42,"Unfavorable"
"26531",90,"Strongly Favorable"
"26532",90,"Strongly Favorable"
"26533",68,"Lightly Favorable"
"26534",81,"Strongly Favorable"
"26535",55,"Lightly Favorable"
"26536",100,"Strongly Favorable"
"26537",50,"Unfavorable"
"26538",89,"Strongly Favorable"
"26539",78,"Strongly Favorable"
"26540",53,"Lightly Favorable"
"26541",59,"Lightly Favorable"
"26542",90,"Strongly Favorable"
"26543",75,"Lightly Favorable"
"26544",49,"Unfavorable"
"26545",81,"Strongly Favorable"
"26546",85,"Strongly Favorable"
"26547",81,"Strongly Favorable"
"26548",98,"Strongly Favorable"
"26549",75,"Lightly Favorable"
"26550",50,"Unfavorable"
"26551",100,"Strongly Favorable"
"26552",78,"Strongly Favorable"
"26553",100,"Strongly Favorable"
"26554",100,"Strongly Favorable"
"26555",90,"Strongly Favorable"
"26556",76,"Strongly Favorable"
"26557",99,"Strongly Favorable"
"26558",50,"Unfavorable"
"26559",86,"Strongly Favorable"
"26560",58,"Lightly Favorable"
"26561",99,"Strongly Favorable"
"26562",95,"Strongly Favorable"
"26563",89,"Strongly Favorable"
"26564",95,"Strongly Favorable"
"26565",81,"Strongly Favorable"
"26566",85,"Strongly Favorable"
"26567",97,"Strongly Favorable"
"26568",63,"Lightly Favorable"
"26569",90,"Strongly Favorable"
"26570",43,"Unfavorable"
"26571",51,"Lightly Favorable"
"26572",80,"Strongly Favorable"
"26573",52,"Lightly Favorable"
"26574",69,"Lightly Favorable"
"26575",85,"Strongly Favorable"
"26576",90,"Strongly Favorable"
"26577",57,"Lightly Favorable"
"26578",67,"Lightly Favorable"
"26579",59,"Lightly Favorable"
"26580",59,"Lightly Favorable"
"26581",100,"Strongly Favorable"
"26582",81,"Strongly Favorable"
"26583",100,"Strongly Favorable"
"26584",84,"Strongly Favorable"
"26585",80,"Strongly Favorable"
"26586",69,"Lightly Favorable"
"26587",77,"Strongly Favorable"
"26588",50,"Unfavorable"
"26589",92,"Strongly Favorable"
"26590",70,"Lightly Favorable"
"26591",89,"Strongly Favorable"
"26592",88,"Strongly Favorable"
"26593",53,"Lightly Favorable"
"26594",43,"Unfavorable"
"26595",100,"Strongly Favorable"
"26596",68,"Lightly Favorable"
"26597",97,"Strongly Favorable"
"26598",80,"Strongly Favorable"
"26599",50,"Unfavorable"
"26600",79,"Strongly Favorable"
"26601",50,"Unfavorable"
"26602",100,"Strongly Favorable"
"26603",58,"Lightly Favorable"
"26604",75,"Lightly Favorable"
"26605",95,"Strongly Favorable"
"26606",53,"Lightly Favorable"
"26607",84,"Strongly Favorable"
"26608",75,"Lightly Favorable"
"26609",91,"Strongly Favorable"
"26610",93,"Strongly Favorable"
"26611",74,"Lightly Favorable"
"26612",70,"Lightly Favorable"
"26613",81,"Strongly Favorable"
"26614",70,"Lightly Favorable"
"26615",50,"Unfavorable"
"26616",77,"Strongly Favorable"
"26617",80,"Strongly Favorable"
"26618",46,"Unfavorable"
"26619",42,"Unfavorable"
"26620",79,"Strongly Favorable"
"26621",96,"Strongly Favorable"
"26622",61,"Lightly Favorable"
"26623",100,"Strongly Favorable"
"26624",79,"Strongly Favorable"
"26625",54,"Lightly Favorable"
"26626",100,"Strongly Favorable"
"26627",56,"Lightly Favorable"
"26628",82,"Strongly Favorable"
"26629",91,"Strongly Favorable"
"26630",78,"Strongly Favorable"
"26631",9,"Strongly unfavorable"
"26632",69,"Lightly Favorable"
"26633",69,"Lightly Favorable"
"26634",99,"Strongly Favorable"
"26635",68,"Lightly Favorable"
"26636",50,"Unfavorable"
"26637",30,"Unfavorable"
"26638",56,"Lightly Favorable"
"26639",100,"Strongly Favorable"
"26640",40,"Unfavorable"
"26641",75,"Lightly Favorable"
"26642",79,"Strongly Favorable"
"26643",80,"Strongly Favorable"
"26644",50,"Unfavorable"
"26645",45,"Unfavorable"
"26646",50,"Unfavorable"
"26647",76,"Strongly Favorable"
"26648",100,"Strongly Favorable"
"26649",50,"Unfavorable"
"26650",54,"Lightly Favorable"
"26651",75,"Lightly Favorable"
"26652",50,"Unfavorable"
"26653",40,"Unfavorable"
"26654",52,"Lightly Favorable"
"26655",100,"Strongly Favorable"
"26656",76,"Strongly Favorable"
"26657",92,"Strongly Favorable"
"26658",90,"Strongly Favorable"
"26659",70,"Lightly Favorable"
"26660",82,"Strongly Favorable"
"26661",80,"Strongly Favorable"
"26662",64,"Lightly Favorable"
"26663",81,"Strongly Favorable"
"26664",88,"Strongly Favorable"
"26665",79,"Strongly Favorable"
"26666",50,"Unfavorable"
"26667",52,"Lightly Favorable"
"26668",100,"Strongly Favorable"
"26669",95,"Strongly Favorable"
"26670",29,"Unfavorable"
"26671",82,"Strongly Favorable"
"26672",95,"Strongly Favorable"
"26673",71,"Lightly Favorable"
"26674",6,"Strongly unfavorable"
"26675",60,"Lightly Favorable"
"26676",100,"Strongly Favorable"
"26677",100,"Strongly Favorable"
"26678",99,"Strongly Favorable"
"26679",60,"Lightly Favorable"
"26680",69,"Lightly Favorable"
"26681",93,"Strongly Favorable"
"26682",94,"Strongly Favorable"
"26683",82,"Strongly Favorable"
"26684",92,"Strongly Favorable"
"26685",89,"Strongly Favorable"
"26686",54,"Lightly Favorable"
"26687",99,"Strongly Favorable"
"26688",50,"Unfavorable"
"26689",89,"Strongly Favorable"
"26690",90,"Strongly Favorable"
"26691",80,"Strongly Favorable"
"26692",50,"Unfavorable"
"26693",96,"Strongly Favorable"
"26694",67,"Lightly Favorable"
"26695",90,"Strongly Favorable"
"26696",76,"Strongly Favorable"
"26697",65,"Lightly Favorable"
"26698",70,"Lightly Favorable"
"26699",62,"Lightly Favorable"
"26700",66,"Lightly Favorable"
"26701",90,"Strongly Favorable"
"26702",82,"Strongly Favorable"
"26703",76,"Strongly Favorable"
"26704",99,"Strongly Favorable"
"26705",80,"Strongly Favorable"
"26706",99,"Strongly Favorable"
"26707",70,"Lightly Favorable"
"26708",55,"Lightly Favorable"
"26709",89,"Strongly Favorable"
"26710",91,"Strongly Favorable"
"26711",96,"Strongly Favorable"
"26712",3,"Strongly unfavorable"
"26713",85,"Strongly Favorable"
"26714",99,"Strongly Favorable"
"26715",80,"Strongly Favorable"
"26716",91,"Strongly Favorable"
"26717",81,"Strongly Favorable"
"26718",82,"Strongly Favorable"
"26719",90,"Strongly Favorable"
"26720",81,"Strongly Favorable"
"26721",61,"Lightly Favorable"
"26722",89,"Strongly Favorable"
"26723",18,"Strongly unfavorable"
"26724",63,"Lightly Favorable"
"26725",100,"Strongly Favorable"
"26726",79,"Strongly Favorable"
"26727",100,"Strongly Favorable"
"26728",95,"Strongly Favorable"
"26729",85,"Strongly Favorable"
"26730",60,"Lightly Favorable"
"26731",76,"Strongly Favorable"
"26732",85,"Strongly Favorable"
"26733",60,"Lightly Favorable"
"26734",50,"Unfavorable"
"26735",88,"Strongly Favorable"
"26736",86,"Strongly Favorable"
"26737",70,"Lightly Favorable"
"26738",78,"Strongly Favorable"
"26739",70,"Lightly Favorable"
"26740",44,"Unfavorable"
"26741",76,"Strongly Favorable"
"26742",86,"Strongly Favorable"
"26743",50,"Unfavorable"
"26744",79,"Strongly Favorable"
"26745",86,"Strongly Favorable"
"26746",89,"Strongly Favorable"
"26747",60,"Lightly Favorable"
"26748",100,"Strongly Favorable"
"26749",79,"Strongly Favorable"
"26750",75,"Lightly Favorable"
"26751",79,"Strongly Favorable"
"26752",79,"Strongly Favorable"
"26753",96,"Strongly Favorable"
"26754",53,"Lightly Favorable"
"26755",91,"Strongly Favorable"
"26756",75,"Lightly Favorable"
"26757",27,"Unfavorable"
"26758",89,"Strongly Favorable"
"26759",88,"Strongly Favorable"
"26760",80,"Strongly Favorable"
"26761",51,"Lightly Favorable"
"26762",100,"Strongly Favorable"
"26763",76,"Strongly Favorable"
"26764",100,"Strongly Favorable"
"26765",80,"Strongly Favorable"
"26766",51,"Lightly Favorable"
"26767",49,"Unfavorable"
"26768",100,"Strongly Favorable"
"26769",92,"Strongly Favorable"
"26770",83,"Strongly Favorable"
"26771",48,"Unfavorable"
"26772",90,"Strongly Favorable"
"26773",49,"Unfavorable"
"26774",76,"Strongly Favorable"
"26775",99,"Strongly Favorable"
"26776",50,"Unfavorable"
"26777",95,"Strongly Favorable"
"26778",91,"Strongly Favorable"
"26779",99,"Strongly Favorable"
"26780",79,"Strongly Favorable"
"26781",99,"Strongly Favorable"
"26782",71,"Lightly Favorable"
"26783",58,"Lightly Favorable"
"26784",77,"Strongly Favorable"
"26785",99,"Strongly Favorable"
"26786",57,"Lightly Favorable"
"26787",4,"Strongly unfavorable"
"26788",52,"Lightly Favorable"
"26789",51,"Lightly Favorable"
"26790",49,"Unfavorable"
"26791",61,"Lightly Favorable"
"26792",100,"Strongly Favorable"
"26793",97,"Strongly Favorable"
"26794",78,"Strongly Favorable"
"26795",96,"Strongly Favorable"
"26796",78,"Strongly Favorable"
"26797",82,"Strongly Favorable"
"26798",100,"Strongly Favorable"
"26799",51,"Lightly Favorable"
"26800",95,"Strongly Favorable"
"26801",75,"Lightly Favorable"
"26802",99,"Strongly Favorable"
"26803",100,"Strongly Favorable"
"26804",98,"Strongly Favorable"
"26805",52,"Lightly Favorable"
"26806",79,"Strongly Favorable"
"26807",100,"Strongly Favorable"
"26808",81,"Strongly Favorable"
"26809",93,"Strongly Favorable"
"26810",90,"Strongly Favorable"
"26811",50,"Unfavorable"
"26812",87,"Strongly Favorable"
"26813",71,"Lightly Favorable"
"26814",100,"Strongly Favorable"
"26815",70,"Lightly Favorable"
"26816",100,"Strongly Favorable"
"26817",85,"Strongly Favorable"
"26818",69,"Lightly Favorable"
"26819",99,"Strongly Favorable"
"26820",56,"Lightly Favorable"
"26821",100,"Strongly Favorable"
"26822",84,"Strongly Favorable"
"26823",0,"Strongly unfavorable"
"26824",100,"Strongly Favorable"
"26825",69,"Lightly Favorable"
"26826",50,"Unfavorable"
"26827",50,"Unfavorable"
"26828",50,"Unfavorable"
"26829",78,"Strongly Favorable"
"26830",89,"Strongly Favorable"
"26831",95,"Strongly Favorable"
"26832",72,"Lightly Favorable"
"26833",100,"Strongly Favorable"
"26834",91,"Strongly Favorable"
"26835",92,"Strongly Favorable"
"26836",100,"Strongly Favorable"
"26837",80,"Strongly Favorable"
"26838",50,"Unfavorable"
"26839",100,"Strongly Favorable"
"26840",90,"Strongly Favorable"
"26841",48,"Unfavorable"
"26842",82,"Strongly Favorable"
"26843",51,"Lightly Favorable"
"26844",97,"Strongly Favorable"
"26845",75,"Lightly Favorable"
"26846",96,"Strongly Favorable"
"26847",72,"Lightly Favorable"
"26848",78,"Strongly Favorable"
"26849",80,"Strongly Favorable"
"26850",75,"Lightly Favorable"
"26851",99,"Strongly Favorable"
"26852",50,"Unfavorable"
"26853",79,"Strongly Favorable"
"26854",94,"Strongly Favorable"
"26855",89,"Strongly Favorable"
"26856",98,"Strongly Favorable"
"26857",59,"Lightly Favorable"
"26858",98,"Strongly Favorable"
"26859",75,"Lightly Favorable"
"26860",79,"Strongly Favorable"
"26861",50,"Unfavorable"
"26862",70,"Lightly Favorable"
"26863",100,"Strongly Favorable"
"26864",61,"Lightly Favorable"
"26865",57,"Lightly Favorable"
"26866",54,"Lightly Favorable"
"26867",88,"Strongly Favorable"
"26868",95,"Strongly Favorable"
"26869",86,"Strongly Favorable"
"26870",100,"Strongly Favorable"
"26871",95,"Strongly Favorable"
"26872",76,"Strongly Favorable"
"26873",51,"Lightly Favorable"
"26874",57,"Lightly Favorable"
"26875",50,"Unfavorable"
"26876",34,"Unfavorable"
"26877",83,"Strongly Favorable"
"26878",100,"Strongly Favorable"
"26879",99,"Strongly Favorable"
"26880",80,"Strongly Favorable"
"26881",94,"Strongly Favorable"
"26882",91,"Strongly Favorable"
"26883",100,"Strongly Favorable"
"26884",75,"Lightly Favorable"
"26885",79,"Strongly Favorable"
"26886",51,"Lightly Favorable"
"26887",98,"Strongly Favorable"
"26888",91,"Strongly Favorable"
"26889",99,"Strongly Favorable"
"26890",50,"Unfavorable"
"26891",100,"Strongly Favorable"
"26892",51,"Lightly Favorable"
"26893",79,"Strongly Favorable"
"26894",81,"Strongly Favorable"
"26895",80,"Strongly Favorable"
"26896",100,"Strongly Favorable"
"26897",50,"Unfavorable"
"26898",80,"Strongly Favorable"
"26899",75,"Lightly Favorable"
"26900",52,"Lightly Favorable"
"26901",50,"Unfavorable"
"26902",48,"Unfavorable"
"26903",75,"Lightly Favorable"
"26904",100,"Strongly Favorable"
"26905",94,"Strongly Favorable"
"26906",98,"Strongly Favorable"
"26907",76,"Strongly Favorable"
"26908",75,"Lightly Favorable"
"26909",90,"Strongly Favorable"
"26910",43,"Unfavorable"
"26911",94,"Strongly Favorable"
"26912",39,"Unfavorable"
"26913",80,"Strongly Favorable"
"26914",86,"Strongly Favorable"
"26915",49,"Unfavorable"
"26916",70,"Lightly Favorable"
"26917",100,"Strongly Favorable"
"26918",51,"Lightly Favorable"
"26919",51,"Lightly Favorable"
"26920",50,"Unfavorable"
"26921",50,"Unfavorable"
"26922",84,"Strongly Favorable"
"26923",80,"Strongly Favorable"
"26924",73,"Lightly Favorable"
"26925",98,"Strongly Favorable"
"26926",29,"Unfavorable"
"26927",99,"Strongly Favorable"
"26928",50,"Unfavorable"
"26929",100,"Strongly Favorable"
"26930",100,"Strongly Favorable"
"26931",67,"Lightly Favorable"
"26932",63,"Lightly Favorable"
"26933",81,"Strongly Favorable"
"26934",50,"Unfavorable"
"26935",76,"Strongly Favorable"
"26936",62,"Lightly Favorable"
"26937",77,"Strongly Favorable"
"26938",79,"Strongly Favorable"
"26939",50,"Unfavorable"
"26940",75,"Lightly Favorable"
"26941",100,"Strongly Favorable"
"26942",100,"Strongly Favorable"
"26943",91,"Strongly Favorable"
"26944",66,"Lightly Favorable"
"26945",90,"Strongly Favorable"
"26946",99,"Strongly Favorable"
"26947",53,"Lightly Favorable"
"26948",82,"Strongly Favorable"
"26949",50,"Unfavorable"
"26950",93,"Strongly Favorable"
"26951",84,"Strongly Favorable"
"26952",50,"Unfavorable"
"26953",80,"Strongly Favorable"
"26954",61,"Lightly Favorable"
"26955",97,"Strongly Favorable"
"26956",75,"Lightly Favorable"
"26957",58,"Lightly Favorable"
"26958",70,"Lightly Favorable"
"26959",55,"Lightly Favorable"
"26960",50,"Unfavorable"
"26961",86,"Strongly Favorable"
"26962",80,"Strongly Favorable"
"26963",89,"Strongly Favorable"
"26964",40,"Unfavorable"
"26965",69,"Lightly Favorable"
"26966",51,"Lightly Favorable"
"26967",100,"Strongly Favorable"
"26968",60,"Lightly Favorable"
"26969",46,"Unfavorable"
"26970",97,"Strongly Favorable"
"26971",82,"Strongly Favorable"
"26972",85,"Strongly Favorable"
"26973",50,"Unfavorable"
"26974",50,"Unfavorable"
"26975",48,"Unfavorable"
"26976",85,"Strongly Favorable"
"26977",91,"Strongly Favorable"
"26978",81,"Strongly Favorable"
"26979",66,"Lightly Favorable"
"26980",57,"Lightly Favorable"
"26981",80,"Strongly Favorable"
"26982",100,"Strongly Favorable"
"26983",85,"Strongly Favorable"
"26984",75,"Lightly Favorable"
"26985",51,"Lightly Favorable"
"26986",94,"Strongly Favorable"
"26987",60,"Lightly Favorable"
"26988",49,"Unfavorable"
"26989",91,"Strongly Favorable"
"26990",93,"Strongly Favorable"
"26991",52,"Lightly Favorable"
"26992",79,"Strongly Favorable"
"26993",78,"Strongly Favorable"
"26994",98,"Strongly Favorable"
"26995",96,"Strongly Favorable"
"26996",55,"Lightly Favorable"
"26997",50,"Unfavorable"
"26998",78,"Strongly Favorable"
"26999",81,"Strongly Favorable"
"27000",72,"Lightly Favorable"
"27001",88,"Strongly Favorable"
"27002",81,"Strongly Favorable"
"27003",44,"Unfavorable"
"27004",100,"Strongly Favorable"
"27005",90,"Strongly Favorable"
"27006",82,"Strongly Favorable"
"27007",80,"Strongly Favorable"
"27008",100,"Strongly Favorable"
"27009",100,"Strongly Favorable"
"27010",69,"Lightly Favorable"
"27011",91,"Strongly Favorable"
"27012",100,"Strongly Favorable"
"27013",85,"Strongly Favorable"
"27014",50,"Unfavorable"
"27015",80,"Strongly Favorable"
"27016",95,"Strongly Favorable"
"27017",82,"Strongly Favorable"
"27018",68,"Lightly Favorable"
"27019",88,"Strongly Favorable"
"27020",100,"Strongly Favorable"
"27021",100,"Strongly Favorable"
"27022",100,"Strongly Favorable"
"27023",50,"Unfavorable"
"27024",75,"Lightly Favorable"
"27025",67,"Lightly Favorable"
"27026",17,"Strongly unfavorable"
"27027",50,"Unfavorable"
"27028",50,"Unfavorable"
"27029",100,"Strongly Favorable"
"27030",100,"Strongly Favorable"
"27031",79,"Strongly Favorable"
"27032",80,"Strongly Favorable"
"27033",52,"Lightly Favorable"
"27034",70,"Lightly Favorable"
"27035",97,"Strongly Favorable"
"27036",71,"Lightly Favorable"
"27037",53,"Lightly Favorable"
"27038",52,"Lightly Favorable"
"27039",36,"Unfavorable"
"27040",79,"Strongly Favorable"
"27041",100,"Strongly Favorable"
"27042",90,"Strongly Favorable"
"27043",0,"Strongly unfavorable"
"27044",74,"Lightly Favorable"
"27045",80,"Strongly Favorable"
"27046",97,"Strongly Favorable"
"27047",52,"Lightly Favorable"
"27048",99,"Strongly Favorable"
"27049",89,"Strongly Favorable"
"27050",94,"Strongly Favorable"
"27051",100,"Strongly Favorable"
"27052",95,"Strongly Favorable"
"27053",81,"Strongly Favorable"
"27054",100,"Strongly Favorable"
"27055",53,"Lightly Favorable"
"27056",85,"Strongly Favorable"
"27057",78,"Strongly Favorable"
"27058",85,"Strongly Favorable"
"27059",79,"Strongly Favorable"
"27060",36,"Unfavorable"
"27061",69,"Lightly Favorable"
"27062",80,"Strongly Favorable"
"27063",70,"Lightly Favorable"
"27064",75,"Lightly Favorable"
"27065",50,"Unfavorable"
"27066",67,"Lightly Favorable"
"27067",91,"Strongly Favorable"
"27068",41,"Unfavorable"
"27069",56,"Lightly Favorable"
"27070",76,"Strongly Favorable"
"27071",58,"Lightly Favorable"
"27072",80,"Strongly Favorable"
"27073",78,"Strongly Favorable"
"27074",88,"Strongly Favorable"
"27075",100,"Strongly Favorable"
"27076",100,"Strongly Favorable"
"27077",99,"Strongly Favorable"
"27078",50,"Unfavorable"
"27079",80,"Strongly Favorable"
"27080",50,"Unfavorable"
"27081",95,"Strongly Favorable"
"27082",77,"Strongly Favorable"
"27083",77,"Strongly Favorable"
"27084",84,"Strongly Favorable"
"27085",51,"Lightly Favorable"
"27086",60,"Lightly Favorable"
"27087",78,"Strongly Favorable"
"27088",50,"Unfavorable"
"27089",100,"Strongly Favorable"
"27090",95,"Strongly Favorable"
"27091",51,"Lightly Favorable"
"27092",50,"Unfavorable"
"27093",100,"Strongly Favorable"
"27094",90,"Strongly Favorable"
"27095",100,"Strongly Favorable"
"27096",94,"Strongly Favorable"
"27097",55,"Lightly Favorable"
"27098",50,"Unfavorable"
"27099",50,"Unfavorable"
"27100",34,"Unfavorable"
"27101",74,"Lightly Favorable"
"27102",38,"Unfavorable"
"27103",32,"Unfavorable"
"27104",90,"Strongly Favorable"
"27105",64,"Lightly Favorable"
"27106",52,"Lightly Favorable"
"27107",100,"Strongly Favorable"
"27108",88,"Strongly Favorable"
