"","score","asfeeling"
"203",71,"Lightly Favorable"
"204",53,"Lightly Favorable"
"205",76,"Strongly Favorable"
"206",97,"Strongly Favorable"
"207",75,"Lightly Favorable"
"208",89,"Strongly Favorable"
"209",91,"Strongly Favorable"
"210",79,"Strongly Favorable"
"211",94,"Strongly Favorable"
"212",52,"Lightly Favorable"
"213",100,"Strongly Favorable"
"214",90,"Strongly Favorable"
"215",70,"Lightly Favorable"
"216",64,"Lightly Favorable"
"217",50,"Unfavorable"
"218",65,"Lightly Favorable"
"219",99,"Strongly Favorable"
"220",100,"Strongly Favorable"
"221",77,"Strongly Favorable"
"222",81,"Strongly Favorable"
"223",57,"Lightly Favorable"
"224",97,"Strongly Favorable"
"225",50,"Unfavorable"
"226",100,"Strongly Favorable"
"227",77,"Strongly Favorable"
"228",50,"Unfavorable"
"229",80,"Strongly Favorable"
"230",57,"Lightly Favorable"
"231",99,"Strongly Favorable"
"232",89,"Strongly Favorable"
"233",77,"Strongly Favorable"
"234",76,"Strongly Favorable"
"235",63,"Lightly Favorable"
"236",78,"Strongly Favorable"
"237",81,"Strongly Favorable"
"238",50,"Unfavorable"
"239",67,"Lightly Favorable"
"240",53,"Lightly Favorable"
"241",50,"Unfavorable"
"242",7,"Strongly unfavorable"
"243",98,"Strongly Favorable"
"244",10,"Strongly unfavorable"
"245",61,"Lightly Favorable"
"246",51,"Lightly Favorable"
"247",87,"Strongly Favorable"
"248",90,"Strongly Favorable"
"249",5,"Strongly unfavorable"
"250",95,"Strongly Favorable"
"251",9,"Strongly unfavorable"
"252",99,"Strongly Favorable"
"253",64,"Lightly Favorable"
"254",84,"Strongly Favorable"
"255",50,"Unfavorable"
"256",50,"Unfavorable"
"257",79,"Strongly Favorable"
"258",100,"Strongly Favorable"
"259",100,"Strongly Favorable"
"260",9,"Strongly unfavorable"
"261",100,"Strongly Favorable"
"262",48,"Unfavorable"
"263",71,"Lightly Favorable"
"264",30,"Unfavorable"
"265",100,"Strongly Favorable"
"266",50,"Unfavorable"
"267",75,"Lightly Favorable"
"268",26,"Unfavorable"
"269",75,"Lightly Favorable"
"270",60,"Lightly Favorable"
"271",91,"Strongly Favorable"
"272",1,"Strongly unfavorable"
"273",98,"Strongly Favorable"
"274",90,"Strongly Favorable"
"275",81,"Strongly Favorable"
"276",100,"Strongly Favorable"
"277",51,"Lightly Favorable"
"278",50,"Unfavorable"
"279",80,"Strongly Favorable"
"280",60,"Lightly Favorable"
"281",50,"Unfavorable"
